,occupation_field,occupation_name,non-college count,wage/salary
206,EAT,Dishwashers,12715,6846.6
207,EAT,"Hosts And Hostesses, Restaurant, Lounge, And Coffee",9065,5252.52
208,CLN,First,5047,26460.41
209,CLN,First,2724,25244.04
210,CLN,Janitors And Building Cleaners,83697,16788.61
211,CLN,Maids And Housekeeping Cleaners,44354,10501.05
212,CLN,Pest Control Workers,1535,26329.58
213,CLN,Grounds Maintenance Workers,39904,11763.67
214,PRS,First,635,28557.54
215,PRS,First,1336,18226.38
216,PRS,Animal Trainers,710,14932.82
217,PRS,Nonfarm Animal Caretakers,5413,10246.64
218,PRS,Gaming Services Workers,2220,23872.2
219,PRS,Motion Picture Projectionists,82,14317.68
220,PRS,"Ushers, Lobby Attendants, And Ticket Takers",1339,5686.95
221,PRS,Miscellaneous Entertainment Attendants And Related,5678,7088.2
222,PRS,Embalmers And Funeral Attendants,328,13061.62
223,PRS,"Morticians, Undertakers, And Funeral Directors",219,21537.08
224,PRS,Barbers,2680,8952.78
225,PRS,"Hairdressers, Hairstylists, And Cosmetologists",19495,11169.53
226,PRS,Miscellaneous Personal Appearance Workers,5798,13329.48
227,PRS,"Baggage Porters, Bellhops, And Concierges",1406,25321.1
228,PRS,Tour And Travel Guides,958,10136.75
229,PRS,Childcare Workers,33096,6205.88
230,PRS,Personal Care Aides,33193,12255.63
231,PRS,Recreation And Fitness Workers,7871,8310.86
232,PRS,Residential Advisors,847,12340.07
233,PRS,"Personal Care And Service Workers, All Other",2921,10323.32
234,SAL,First,49319,31327.27
235,SAL,First,14522,41669.9
236,SAL,Cashiers,100656,8867.11
237,SAL,Counter And Rental Clerks,2040,15904.68
238,SAL,Parts Salespersons,2944,29426.27
239,SAL,Retail Salespersons,64351,16247.83
240,SAL,Advertising Sales Agents,1185,27355.4
241,SAL,Insurance Sales Agents,4276,33215.46
242,SAL,"Securities, Commodities, And Financial Services Sales",964,44117.46
243,SAL,Travel Agents,619,25234.54
244,SAL,"Sales Representatives, Services, All Other",5481,35266.38
245,SAL,"Sales Representatives, Wholesale And Manufacturing",13837,42328.86
246,SAL,"Models, Demonstrators, And Product Promoters",1710,9105.27
247,SAL,Real Estate Brokers And Sales Agents,5553,25760.47
248,SAL,Sales Engineers,79,86862.03
249,SAL,Telemarketers,1898,9907.49
250,SAL,Door,3654,8864.06
251,SAL,"Sales And Related Workers, All Other",3712,20253.44
252,OFF,First,17442,36033.41
253,OFF,"Switchboard Operators, Including Answering Service",691,18603.55
254,OFF,Telephone Operators,834,18984.88
255,OFF,"Communications Equipment Operators, All Other",138,32026.81
256,OFF,Bill And Account Collectors,2644,24329.7
257,OFF,Billing And Posting Clerks,7873,25408.46
258,OFF,"Bookkeeping, Accounting, And Auditing Clerks",22116,25197.74
259,OFF,Gaming Cage Workers,234,19595.51
260,OFF,Payroll And Timekeeping Clerks,2580,30395.22
261,OFF,Procurement Clerks,428,40135.02
262,OFF,Tellers,6987,18436.52
263,OFF,"Financial Clerks, All Other",1057,34599.63
264,OFF,Brokerage Clerks,71,38089.44
265,OFF,"Court, Municipal, And License Clerks",1217,26156.45
266,OFF,"Credit Authorizers, Checkers, And Clerks",654,28105.03
267,OFF,Customer Service Representatives,42535,18765.46
268,OFF,"Eligibility Interviewers, Government Programs",654,30393.03
269,OFF,File Clerks,6068,14975.04
270,OFF,"Hotel, Motel, And Resort Desk Clerks",2486,14153.35
271,OFF,"Interviewers, Except Eligibility And Loan",1976,16929.48
272,OFF,"Library Assistants, Clerical",1571,11778.63
273,OFF,Loan Interviewers And Clerks,1481,33685.71
274,OFF,New Accounts Clerks,217,26013.36
275,OFF,Correspondence Clerks And Order Clerks,3089,21857.69
276,OFF,"Human Resources Assistants, Except Payroll And",750,27006.15
277,OFF,Receptionists And Information Clerks,22566,16353.85
278,OFF,Reservation And Transportation Ticket Agents And Travel,1490,27029.19
279,OFF,"Information And Record Clerks, All Other",1689,18395.38
280,OFF,Cargo And Freight Agents,341,30976.74
281,OFF,Couriers And Messengers,4916,23365.71
282,OFF,Dispatchers,5044,30993.29
283,OFF,"Meter Readers, Utilities",749,28256.74
284,OFF,Postal Service Clerks,2485,33969.96
285,OFF,Postal Service Mail Carriers,6691,38785.57
286,OFF,"Postal Service Mail Sorters, Processors, And Processing",1434,31824.16
287,OFF,"Production, Planning, And Expediting Clerks",4370,36093.63
288,OFF,"Shipping, Receiving, And Traffic Clerks",16017,24348.64
289,OFF,Stock Clerks And Order Fillers,46168,15487.55
290,OFF,"Weighers, Measurers, Checkers, And Samplers,",2222,24583.82
291,OFF,Secretaries And Administrative Assistants,61806,23556.73
292,OFF,Computer Operators,1399,26090.49
293,OFF,Data Entry Keyers,6159,20616.92
294,OFF,Word Processors And Typists,6623,20665.71
295,OFF,Insurance Claims And Policy Processing Clerks,4721,28915.86
296,OFF,"Mail Clerks And Mail Machine Operators, Except Postal",2193,18151.55
297,OFF,"Office Clerks, General",23167,20955.45
298,OFF,"Office Machine Operators, Except Computer",831,20011.94
299,OFF,Proofreaders And Copy Markers,137,16551.17
300,OFF,Statistical Assistants,275,31279.45
301,OFF,Miscellaneous Office And Administrative Support,6847,26805.92
302,FFF,First,1398,31849.59
303,FFF,Agricultural Inspectors,256,29625.9
304,FFF,"Graders And Sorters, Agricultural Products",1802,12685.52
305,FFF,"Miscellaneous Agricultural Workers, Including Animal",27634,14394.57
306,FFF,Fishing And Hunting Workers,1865,16182.53
307,FFF,Forest And Conservation Workers,472,15496.33
308,FFF,Logging Workers,3173,17975.15
309,CON,First,21372,47497.91
310,CON,Boilermakers,647,39353.77
311,CON,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing",4796,22918.66
312,CON,Carpenters,33898,21534.56
313,CON,"Carpet, Floor, And Tile Installers And Finishers",4076,18371.26
314,CON,"Cement Masons, Concrete Finishers, And Terrazzo Workers",2032,25562.61
315,CON,Construction Laborers,51608,20439.58
316,CON,"Paving, Surfacing, And Tamping Equipment Operators",541,29092.31
317,CON,"Construction Equipment Operators, Except Paving,",14089,37068.19
318,CON,"Drywall Installers, Ceiling Tile Installers, And Tapers",3851,19541.61
319,CON,Electricians,16436,38522.66
320,CON,Glaziers,1144,32862.5
321,CON,Insulation Workers,1227,32798.89
322,CON,Painters And Paperhangers,15662,17296.0
323,CON,"Pipelayers, Plumbers, Pipefitters, And Steamfitters",15247,35526.67
324,CON,Plasterers And Stucco Masons,676,23838.31
325,CON,Roofers,6411,17984.96
326,CON,Sheet Metal Workers,3665,32944.1
327,CON,Structural Iron And Steel Workers,1911,37173.24
328,CON,"Helpers, Construction Trades",1509,16915.67
329,CON,Construction And Building Inspectors,1336,36118.52
330,CON,Elevator Installers And Repairers,525,71858.1
331,CON,Fence Erectors,895,16651.73
332,CON,Hazardous Materials Removal Workers,782,29696.74
333,CON,Highway Maintenance Workers,4389,30650.44
334,CON,Rail,385,39807.69
335,CON,"Miscellaneous Construction Workers, Including Solar",1752,24760.97
336,EXT,"Derrick, Rotary Drill, And Service Unit Operators, And",1497,52333.96
337,EXT,"Earth Drillers, Except Oil And Gas",1001,40019.49
338,EXT,"Explosives Workers, Ordnance Handling Experts, And",396,33002.27
339,EXT,Mining Machine Operators,2398,50502.29
340,EXT,"Miscellaneous Extraction Workers, Including Roof",2695,41744.75
341,RPR,First,5874,48628.69
342,RPR,"Computer, Automated Teller, And Office Machine",2155,27987.6
343,RPR,Radio And Telecommunications Equipment Installers And,2630,38600.9
344,RPR,Avionics Technicians,259,31973.94
345,RPR,"Electric Motor, Power Tool, And Related Repairers",617,35743.14
346,RPR,"Electrical And Electronics Repairers, Transportation",316,41722.78
347,RPR,"Electronic Equipment Installers And Repairers, Motor",252,27168.37
348,RPR,Electronic Home Entertainment Equipment Installers And,758,27634.88
349,RPR,Security And Fire Alarm Systems Installers,979,36074.2
350,RPR,Aircraft Mechanics And Service Technicians,2545,41820.69
351,RPR,Automotive Body And Related Repairers,4407,29289.51
352,RPR,Automotive Glass Installers And Repairers,532,25086.88
353,RPR,Automotive Service Technicians And Mechanics,22223,26763.43
354,RPR,Bus And Truck Mechanics And Diesel Engine Specialists,8656,35661.48
355,RPR,Heavy Vehicle And Mobile Equipment Service Technicians,6317,41573.03
356,RPR,Small Engine Mechanics,1539,20655.64
357,RPR,"Miscellaneous Vehicle And Mobile Equipment Mechanics,",2427,20381.56
358,RPR,Control And Valve Installers And Repairers,490,44702.55
359,RPR,"Heating, Air Conditioning, And Refrigeration Mechanics",8031,33911.06
360,RPR,Home Appliance Repairers,967,23859.83
361,RPR,Industrial And Refractory Machinery Mechanics,10155,40268.71
362,RPR,"Maintenance And Repair Workers, General",13828,34074.85
363,RPR,"Maintenance Workers, Machinery",910,38480.7
364,RPR,Millwrights,1548,44183.49
365,RPR,Electrical Power,2572,58378.67
366,RPR,Telecommunications Line Installers And Repairers,2843,38076.34
367,RPR,Precision Instrument And Equipment Repairers,843,32274.33
368,RPR,"Coin, Vending, And Amusement Machine Servicers And",919,23503.87
369,RPR,Locksmiths And Safe Repairers,671,26596.75
370,RPR,Riggers,380,38428.58
371,RPR,Helpers,715,16106.07
372,RPR,"Miscellaneous Installation, Maintenance, And Repair",6520,27901.47
373,PRD,First,22360,44091.15
374,PRD,"Aircraft Structure, Surfaces, Rigging, And Systems",164,35562.2
375,PRD,"Electrical, Electronics, And Electromechanical",4051,23307.47
376,PRD,Engine And Other Machine Assemblers,424,32443.42
377,PRD,Structural Metal Fabricators And Fitters,905,33378.45
378,PRD,Miscellaneous Assemblers And Fabricators,33091,23786.55
379,PRD,Bakers,5390,15846.81
380,PRD,"Butchers And Other Meat, Poultry, And Fish Processing",7166,22486.63
381,PRD,"Food And Tobacco Roasting, Baking, And Drying Machine",311,26156.37
382,PRD,Food Batchmakers,2421,19853.8
383,PRD,Food Cooking Machine Operators And Tenders,376,15125.16
384,PRD,"Food Processing Workers, All Other",3860,26770.25
385,PRD,Computer Control Programmers And Operators,2341,35233.6
386,PRD,"Extruding And Drawing Machine Setters, Operators, And",430,32963.84
387,PRD,"Forging Machine Setters, Operators, And Tenders, Metal",333,33297.0
388,PRD,"Rolling Machine Setters, Operators, And Tenders, Metal",367,31697.38
389,PRD,"Machine Tool Cutting Setters, Operators, And Tenders,",5724,27615.82
390,PRD,Machinists,10684,37745.89
391,PRD,"Metal Furnace Operators, Tenders, Pourers, And Casters",871,37339.63
392,PRD,"Model Makers, Patternmakers, And Molding Machine",1595,29398.8
393,PRD,Tool And Die Makers,1680,41417.11
394,PRD,"Welding, Soldering, And Brazing Workers",20482,32771.2
395,PRD,"Miscellaneous Metal Workers And Plastic Workers,",13689,29607.64
396,PRD,Prepress Technicians And Workers,721,22095.02
397,PRD,Printing Press Operators,5213,28438.08
398,PRD,Print Binding And Finishing Workers,753,22823.31
399,PRD,Laundry And Dry,6020,14500.6
400,PRD,"Pressers, Textile, Garment, And Related Materials",1268,15551.3
401,PRD,Sewing Machine Operators,5747,15946.44
402,PRD,Shoe And Leather Workers,446,15586.17
403,PRD,"Tailors, Dressmakers, And Sewers",1705,12838.19
404,PRD,"Textile Bleaching And Dyeing, And Cutting Machine",290,21527.97
405,PRD,"Textile Knitting And Weaving Machine Setters,",316,19192.94
406,PRD,"Textile Winding, Twisting, And Drawing Out Machine",297,19097.31
407,PRD,Upholsterers,1100,17546.25
408,PRD,"Miscellaneous Textile, Apparel, And Furnishings",493,20864.83
409,PRD,Cabinetmakers And Bench Carpenters,1625,22256.16
410,PRD,Furniture Finishers,390,18268.0
411,PRD,"Sawing Machine Setters, Operators, And Tenders, Wood",1418,21452.52
412,PRD,"Woodworking Machine Setters, Operators, And Tenders,",851,19123.44
413,PRD,"Miscellaneous Woodworkers, Including Model Makers And",863,18964.43
414,PRD,"Power Plant Operators, Distributors, And Dispatchers",897,65891.13
415,PRD,Stationary Engineers And Boiler Operators,2137,46854.12
416,PRD,Water And Wastewater Treatment Plant And System,2031,39204.24
417,PRD,Miscellaneous Plant And System Operators,1127,52283.31
418,PRD,"Chemical Processing Machine Setters, Operators, And",1256,40776.83
419,PRD,"Crushing, Grinding, Polishing, Mixing, And Blending",2705,31130.35
420,PRD,Cutting Workers,2521,20673.77
421,PRD,"Extruding, Forming, Pressing, And Compacting Machine",1058,27363.05
422,PRD,"Furnace, Kiln, Oven, Drier, And Kettle Operators And",411,34196.33
423,PRD,"Inspectors, Testers, Sorters, Samplers, And Weighers",19503,28479.42
424,PRD,Jewelers And Precious Stone And Metal Workers,789,18747.91
425,PRD,"Medical, Dental, And Ophthalmic Laboratory Technicians",1331,26999.03
426,PRD,Packaging And Filling Machine Operators And Tenders,8604,19273.69
427,PRD,Painting Workers,4321,29634.81
428,PRD,Photographic Process Workers And Processing Machine,608,18078.96
429,PRD,Adhesive Bonding Machine Operators And Tenders,360,25191.72
430,PRD,Etchers And Engravers,252,21937.86
431,PRD,"Molders, Shapers, And Casters, Except Metal And Plastic",783,26746.72
432,PRD,"Paper Goods Machine Setters, Operators, And Tenders",932,31045.76
433,PRD,Tire Builders,477,36487.42
434,PRD,Helpers,1581,15234.21
435,PRD,"Miscellaneous Production Workers, Including",39814,26582.27
436,TRN,Supervisors Of Transportation And Material Moving,4457,42020.97
437,TRN,Aircraft Pilots And Flight Engineers,381,64928.74
438,TRN,Air Traffic Controllers And Airfield Operations,247,56381.01
439,TRN,Flight Attendants,580,33771.55
440,TRN,"Ambulance Drivers And Attendants, Except Emergency",340,19405.47
441,TRN,Bus Drivers,16920,20412.55
442,TRN,Driver/Sales Workers And Truck Drivers,106153,31367.91
443,TRN,Taxi Drivers And Chauffeurs,8420,16471.9
444,TRN,"Motor Vehicle Operators, All Other",1540,13304.12
445,TRN,Locomotive Engineers And Operators,1110,60810.65
446,TRN,Railroad Conductors And Yardmasters,1112,53105.22
447,TRN,"Subway, Streetcar, And Other Rail Transportation",469,45712.28
448,TRN,"Sailors And Marine Oilers, And Ship Engineers",898,33962.82
449,TRN,Ship And Boat Captains And Operators,954,57213.44
450,TRN,Parking Lot Attendants,1931,13938.63
451,TRN,Automotive And Watercraft Service Attendants,3142,14783.25
452,TRN,Transportation Inspectors,895,39078.44
453,TRN,"Transportation Attendants, Except Flight Attendants",753,17235.1
454,TRN,"Miscellaneous Transportation Workers, Including Bridge",528,36451.59
455,TRN,Crane And Tower Operators,2183,48407.7
456,TRN,"Dredge, Excavating, And Loading Machine Operators",1487,30269.96
457,TRN,"Conveyor Operators And Tenders, And Hoist And Winch",539,35558.44
458,TRN,Industrial Truck And Tractor Operators,18329,26644.69
459,TRN,Cleaners Of Vehicles And Equipment,11810,14016.29
460,TRN,"Laborers And Freight, Stock, And Material Movers, Hand",75462,19133.44
461,TRN,Machine Feeders And Offbearers,1011,20231.93
462,TRN,"Packers And Packagers, Hand",15551,13926.49
463,TRN,Pumping Station Operators,979,43118.6
464,TRN,Refuse And Recyclable Material Collectors,3616,18871.56
465,TRN,"Miscellaneous Material Moving Workers, Including Mine",1741,29305.62
466,MIL,Military Officer Special And Tactical Operations,193,27851.81
467,MIL,First,565,36439.29
468,MIL,Military Enlisted Tactical Operations And Air/Weapons,3134,19314.96
469,MIL,"Military, Rank Not Specified",2858,27848.23
470,UNP,Unemployed And Last Worked 5 Years Ago Or Earlier Or Never,45351,0.0
